,Specs,Score
12128,russian,42.12597939472478
11174,present,42.0973453801228
2522,behalf,42.095387925238676
3614,concerning,42.095387925238676
9359,murdered,42.095387925238676
8317,known,42.02230295589836
14806,the real,41.93577402529273
1464,and is,41.92541565675894
13247,story of,41.89927924480163
14382,the global,41.8503440564898
10508,our world,41.800306161500195
17741,worship,41.800306161500195
5462,flat earth,41.78642880273191
4589,done,41.760128738401306
14095,the catholic,41.67767456424174
2933,by the mainstream,41.63078836586299
5078,ex,41.62399332011272
4306,detroit,41.6055364204618
6848,hunter,41.6055364204618
12034,rise of,41.6055364204618
3131,catholic church,41.56539634334531
10371,openly,41.56539634334531
15081,the web,41.56539634334531
17094,we have,41.4535282913461
2976,called the,41.45137314065401
10456,org,41.431804189753564
11591,real,41.40742441637964
1731,anyone,41.40323053169168
8968,me to,41.387049825499375
8713,lost,41.34405826346126
13646,telling,41.207505208997745
8246,kelly,41.07313793875326
17309,whatever,41.04272086859152
3322,christmas,40.98618098319591
12102,rule,40.901262916188294
12928,soil,40.840716486326414
17492,wife,40.72572834111742
1182,already,40.724922396564196
4820,elected,40.56553131777012
4605,doubt,40.555161747821984
10391,opposed,40.534595499125786
1231,america is,40.49579453161543
5733,foundation,40.20107979539852
16285,treason,40.20000000000001
15766,to do,40.1632370690924
851,according,40.13110338091405
9046,members of,40.03606490885481
4139,debt,40.00987370838118
3874,council,40.00584838047526
1175,along,39.97721433934263
4527,doctors,39.97445728309757
5830,full,39.849261797257256
4902,enemies,39.814925373134336
13150,state and,39.798815196934186
4536,does not,39.77791532239962
15744,to create,39.74692945528766
188,2nd,39.729368541905856
5904,genocide,39.729368541905856
6021,gold and,39.729368541905856
1035,agent,39.50401962445026
2648,billions,39.50401962445026
4120,dealing,39.49504613683719
4623,download,39.49504613683719
16492,united nations,39.49504613683719
884,act,39.476568207911505
2743,boys,39.31481752078767
3673,connection,39.31088386333094
16903,war on,39.22080997726301
4362,died,39.15655289983649
852,according to,39.13141982395714
17195,well,39.124545106634656
11165,prepare for,39.00077497129736
14606,the mother,39.00077497129736
9777,of a,38.934244414854
3792,controls,38.84578134966195
13983,the above,38.84578134966195
4134,deaths in,38.79095646030205
9914,of law,38.79095646030205
12997,soros,38.79095646030205
3786,control over,38.76976655185611
14279,the establishment,38.76976655185611
16195,too many,38.76976655185611
17956,you think that,38.76976655185611
7618,international,38.6261824087816
3342,citizens,38.62078375989352
1963,articles,38.52326457044802
17651,women,38.473230926741515
2990,came to,38.47021414665802
8298,know it,38.47021414665802
16401,twitter,38.16572522005358
3168,censorship,38.08964371388835
7132,in america,37.97157636136933
10831,perhaps,37.91224668917046
11602,realize,37.80981316151733
3317,chris,37.80487075113942
5432,first,37.684752120122454
10063,of the united,37.67346345197092
17962,you were,37.66360505166476
14100,the cdc,37.625768592932786
13387,support,37.58041838072718
4810,egyptian,37.474280182796434
12103,rule of,37.474280182796434
14874,the satanic,37.474280182796434
16899,war and,37.474280182796434
17885,you are not,37.474280182796434
8252,key,37.36586622682902
13549,take a,37.35971621184021
14717,the people,37.323611760759356
2751,brazil,37.27728302355169
8122,itself,37.2629456809109
4091,day,37.179415524667995
15549,throughout,37.11339711697921
1205,alternative media,37.107692307692304
4422,discernment,37.107692307692304
14555,the mainstream news,37.107692307692304
2694,bodies,37.0881592039801
16970,was not,37.07427818174088
13134,stars,36.929214069512575
3721,constitution,36.92281668580176
10121,of you,36.92281668580176
14891,the series,36.92281668580176
5407,financial,36.885367409357215
2083,assigned,36.76532721010333
11141,pray,36.76532721010333
8622,little,36.67164257406651
4143,decades,36.67164179104478
15058,the virus,36.62947431819466
6141,guns,36.61118417237821
11146,precious,36.61118417237821
14554,the mainstream media,36.61118417237821
14920,the solar,36.61118417237821
5675,forced,36.49791946092686
14580,the middle,36.49791946092686
2258,away,36.47437636989878
7726,is being,36.43648501857457
8758,machines,36.35067590089256
11313,programming,36.35067590089256
12698,shocking,36.35067590089256
7709,is also,36.334114757162325
5490,flu shots,36.32624059191223
7268,in power,36.32624059191223
10055,of the sun,36.32624059191223
11548,rather,36.29411743350744
9410,national,36.24168388825106
3002,camps,36.1518693007113
14322,the fed,36.1518693007113
15026,the united nations,36.1518693007113
12590,series,36.1330471388875
11131,powers,36.1203214695752
5776,friend,36.10011481056257
10277,once again,36.0866204096574
14016,the art,36.0866204096574
16592,us from,36.0866204096574
6053,government in,36.02847585434651
14921,the solar system,36.02847585434651
3448,coincidence,35.99859471871412
3785,control of the,35.99859471871412
14845,the rise of,35.99859471871412
6391,having,35.98724559023066
16191,too,35.976555094350736
8302,know that,35.97271459081763
2519,begins,35.84727685657463
800,about the,35.71503263746274
5957,given,35.709960565067654
4664,drugs,35.70524301569077
8918,massive,35.70524301569077
12504,security,35.68046649986354
3891,country,35.59270334869086
13402,supposed,35.52524556703662
16654,vaccine,35.50953209197163
4394,diplomatic,35.49452736318408
14569,the matrix,35.49452736318408
7806,is no,35.418300230464084
11195,president trump,35.388678680177705
2668,black,35.3533080400419
7029,imagine,35.31066091160556
6921,i think,35.16808573545957
2790,brought,35.14476372977394
3932,covid 19,35.10554917719097
6801,how the,35.082720081444904
7367,in the world,35.079838346727904
3387,clearly,34.90336777650211
11606,really,34.833261308396274
12021,right to,34.823690179496516
14438,the human,34.823690179496516
15134,their own,34.81154228855722
1221,amazing,34.796154271378164
1670,and your,34.796154271378164
9366,muslim,34.796154271378164
11045,political,34.780266038462095
11613,realm,34.77045541523153
16091,to the public,34.77045541523153
17554,wilson,34.77045541523153
7368,in their,34.69336250245139
16911,warning,34.61394426469054
17306,what you,34.570126291618834
9044,members,34.55267566091706
13254,strain,34.46616915422885
2673,blessed,34.461615001913515
9602,not be,34.38318036997646
7359,in the usa,34.38118007248824
9565,noah,34.38118007248824
10066,of the us,34.38118007248824
8611,list,34.380622839523454
14272,the entire,34.29491006505933
1430,and he,34.27224415020935
9074,mers,34.248603138155374
13930,that time,34.248603138155374
14666,the official,34.248603138155374
10526,out of,34.246541938196344
2082,assets,34.03172598545733
2523,behalf of,34.03172598545733
9969,of power,34.03172598545733
10179,on behalf,34.03172598545733
10180,on behalf of,34.03172598545733
11696,refugees,34.03172598545733
5763,free shipping,34.01538461538462
6815,however they are,34.01538461538462
9636,not offered,34.01538461538462
9785,of advanced,34.01538461538462
1953,arsenal,33.95522388059702
9887,of his,33.95004464855212
888,acting,33.919867793897645
8451,learn,33.86916525585891
13265,street,33.86916525585891
5275,families,33.830222718184785
549,a nation,33.81553769613471
9836,of defense,33.81553769613471
12679,shedding,33.81553769613471
16898,war against,33.81553769613471
1177,along with,33.763994273646006
6024,gonna,33.73563887877685
7532,injected,33.73563887877685
12422,scenario,33.73563887877685
12643,sexually,33.73563887877685
3326,churches,33.730057405281286
5885,gay,33.730057405281286
8835,man s,33.730057405281286
8454,learned,33.71686066707882
4628,dr,33.71414301963505
4285,destroyed,33.65358464089808
17886,you believe,33.65358464089808
17321,when i,33.509514462427326
9875,of government,33.48641408342901
10914,pigs,33.48641408342901
16568,upon the,33.48641408342901
11937,restaurant,33.48444954713611
58,14th,33.440244929200155
8912,mass media,33.440244929200155
15422,this information,33.440244929200155
5325,fear,33.35154692919413
5181,exposing,33.314186464129065
9386,mythology,33.314186464129065
9421,nato,33.314186464129065
3390,click,33.26924945932237
807,about to,33.232702365882616
3432,cluster,33.232702365882616
9608,not by,33.23122847301953
14854,the roman,33.23122847301953
12632,sex,33.23078307017283
9915,of life,33.222340353029374
16997,was the,33.153069851142604
3855,could,33.11954532098871
1232,america s,33.097198358340925
16123,to us,33.068377177656856
1775,apple,33.041416847387005
16490,united,33.037629759854575
1588,and that,32.99803938885455
6359,have no,32.97156099842667
16646,vaccinated,32.91831149835649
9499,new world,32.75191816385846
6202,happen,32.743345029996284
17429,who had,32.67750172215844
